id,name,current_max_exam_2,backup_max_exam_2
767,,20.0,10.0
768,,20.0,10.0
769,Algèbre & Analyse ,20.0,60.0
770,Géométrie/Trigo,20.0,40.0
773,Sous total,20.0,140.0
774,,20.0,10.0
775,Biologie générale,20.0,40.0
778,Sous total,20.0,80.0
779,,20.0,10.0
780,Chimie ,20.0,60.0
781,Physique,20.0,60.0
783,Sous total,20.0,140.0
784,,20.0,10.0
785,Français ,20.0,100.0
786,Anglais,20.0,60.0
787,Sous total,20.0,160.0
788,,20.0,10.0
789,Géographie,20.0,40.0
790,Histoire ,20.0,40.0
791,Economie politique,20.0,40.0
795,Sous total,20.0,180.0
796,,20.0,10.0
803,MAXIMA,20.0,40.0
804,DACTYLOGRAPHIE,20.0,40.0
805,STENOGRAPHIE,20.0,40.0
806,DROIT/SOCIOLOGIE (1),20.0,40.0
807,INFORMATIQUE (1),20.0,10.0
808,GEOGRAPHIE,20.0,10.0
809,HISTOIRE,20.0,10.0
810,PHYSIQUE,20.0,10.0
811,CHIMIE (1),20.0,40.0
812,EDUCATION PHYSIQUE,20.0,40.0
813,TECHN. DU COMMERCE,20.0,40.0
814,MAXIMA,20.0,80.0
815,COMPTABILITE (1),20.0,80.0
816,MATHEMATIQUE,20.0,80.0
817,MAXIMA,20.0,100.0
818,FRANCAIS + C.C.F,20.0,100.0
819,ANGLAIS + C.C.A,20.0,100.0
824,MAXIMA,20.0,40.0
825,DACTYLOGRAPHIE,20.0,40.0
826,STENOGRAPHIE,20.0,40.0
827,DROIT/SOCIOLOGIE (1),20.0,40.0
828,INFORMATIQUE (1),20.0,10.0
829,GEOGRAPHIE,20.0,10.0
830,HISTOIRE,20.0,10.0
831,PHYSIQUE,20.0,10.0
832,CHIMIE (1),20.0,40.0
833,EDUCATION PHYSIQUE,20.0,40.0
834,TECHN. DU COMMERCE,20.0,40.0
835,MAXIMA,20.0,80.0
836,COMPTABILITE (1),20.0,80.0
837,MATHEMATIQUE,20.0,80.0
838,MAXIMA,20.0,100.0
839,FRANCAIS + C.C.F,20.0,100.0
840,ANGLAIS + C.C.A,20.0,100.0
856,MAXIMA,20.0,40.0
857,Anglais,20.0,40.0
858,Chimie,20.0,40.0
859,Electronique numérique,20.0,40.0
860,Géographie / Actualités,20.0,40.0
861,Histoire,20.0,40.0
862,Informatique,20.0,40.0
863,Instr. méth. Mesures,20.0,40.0
864,Mécanisme,20.0,40.0
865,Physique,20.0,40.0
866,Techno. mécanique,20.0,40.0
867,MAXIMA,20.0,80.0
868,Dessin électrique,20.0,80.0
869,Dessin industriel,20.0,80.0
870,Electricité générale,20.0,80.0
871,Mécanique générale,20.0,80.0
872,Techno. électr.,20.0,80.0
873,Electronique,20.0,80.0
874,MAXIMA,20.0,100.0
875,Français,20.0,100.0
876,Mathématiques,20.0,100.0
877,MAXIMA,20.0,10.0
878,Atelier électrique,20.0,10.0
879,Atelier ajustage,20.0,10.0
885,MAXIMA,20.0,40.0
886,Anglais,20.0,40.0
887,Chimie,20.0,40.0
888,Electronique numérique,20.0,40.0
889,Géographie / Actualités,20.0,40.0
890,Histoire (1),20.0,40.0
891,Informatique,20.0,40.0
892,Instr. méth. Mesures,20.0,40.0
893,Mécanisme,20.0,40.0
894,Physique,20.0,40.0
895,Techno. mécanique (1),20.0,40.0
896,MAXIMA,20.0,80.0
897,Dessin électrique,20.0,80.0
898,Dessin industriel,20.0,80.0
899,Electricité générale,20.0,80.0
900,Mécanique générale (1),20.0,80.0
901,Techno. électr.,20.0,80.0
902,MAXIMA,20.0,100.0
903,Français,20.0,100.0
904,Mathématiques,20.0,100.0
905,MAXIMA,20.0,10.0
906,Atelier électrique,20.0,10.0
907,Labo. électrique,20.0,10.0
913,MAXIMA,20.0,40.0
914,Actualités,20.0,40.0
915,Anglais,20.0,40.0
916,Automate progr. (1),20.0,40.0
917,Electronique + labo.,20.0,40.0
918,Informatique,20.0,40.0
919,Instr. méth. Mesures,20.0,40.0
920,Résistance des matér.,20.0,40.0
921,MAXIMA,20.0,80.0
922,Dessin électrique,20.0,80.0
923,Electricité générale,20.0,80.0
924,Machines électriques,20.0,80.0
925,Techno. électrique,20.0,80.0
926,MAXIMA,20.0,100.0
927,Français,20.0,100.0
928,Mathématiques,20.0,100.0
929,MAXIMA,20.0,10.0
930,Atelier électrique,20.0,10.0
931,Labo. électrique,20.0,10.0
936,MAXIMA,20.0,40.0
937,Actualités,20.0,40.0
938,Anglais,20.0,40.0
939,Application électr.,20.0,40.0
940,Automation,20.0,40.0
941,Circuit logique (1),20.0,40.0
942,Informatique,20.0,40.0
943,Législation (1),20.0,40.0
944,Organisation,20.0,40.0
945,MAXIMA,20.0,80.0
946,Electronique + labo,20.0,80.0
947,Machine électrique,20.0,80.0
948,Machines appliquée,20.0,80.0
949,Schéma,20.0,80.0
950,MAXIMA,20.0,100.0
951,Dessin électrique,20.0,100.0
952,Francais ,20.0,100.0
953,Labo. électrique,20.0,100.0
954,Mathématiques,20.0,100.0
955,MAXIMA,20.0,10.0
956,Atelier électrique,20.0,10.0
957,Labo. électrique,20.0,10.0
1123,MAXIMA,20.0,40.0
1124,Biologie,20.0,40.0
1125,Dessin,20.0,40.0
1126,Education musc./Théâtrale,20.0,40.0
1127,Education phys & sportive,20.0,40.0
1128,Géographie,20.0,40.0
1129,Histoire,20.0,40.0
1130,Informatique,20.0,40.0
1131,Langues nationales,20.0,40.0
1132,Sociologie africaine,20.0,40.0
1133,Travaux muscale/Ecriture,20.0,40.0
1134,MAXIMA,20.0,80.0
1135,Chimie,20.0,80.0
1136,Mathématiques,20.0,80.0
1137,Pédagogie ,20.0,80.0
1138,Physique,20.0,80.0
1139,Psychologie,20.0,80.0
1140,MAXIMA,20.0,100.0
1141,Anglais,20.0,100.0
1142,Francais,20.0,100.0
1147,MAXIMA,20.0,40.0
